Sho to Elb (L),Elb to Wrist (L), Sho to Hip (L),Hip to Knee (L),Knee to Ankle (L),Ankle to Heel (L), Heel to Foot (L),Sho to Elb (R),Elb to Wrist (R), Sho to Hip (R),Hip to Knee (R),Knee to Ankle (R),Ankle to Heel (R), Heel to Foot (R),Track ID
31.309,33.735,52.95,45.739,62.94,0,0,24.611,28.084,58.366,39.65,79.528,0,0,59
33.627,31.519,47.233,48.334,57.016,3.955,40.296,23.926,27.69,53.3,39.751,80.19,0,0,59
31.004,36.235,52.298,44.334,64.592,0,0,24.246,40.101,56.276,42.895,63.656,0,0,59
36.58,42.785,63.363,0,0,0,0,29.748,30.54,76.939,48.751,62.134,6.254,52.048,65
32.476,40.96,56.148,42.06,67.933,0,0,27.869,39.494,62.762,43.708,61.894,0,0,59
34.765,47.281,64.298,0,0,7.974,40.433,31.21,33.299,82.051,53.931,52.371,7.367,55.965,65
33.878,43.262,61.371,42.397,75.199,6.333,43.653,28.01,42.385,68.495,42.296,68.282,4.853,49.784,59
36.918,42.479,65.74,51.873,67.642,7.224,34.597,34.865,34.528,82.398,53.987,47.531,7.719,52.987,65
33.284,50.624,62.76,0,0,0,0,29.627,50.15,68.116,44.275,64.749,3.814,52.046,59
39.181,50.043,69.297,51.884,85.791,9.478,42.318,32.547,37.036,81.334,57.058,58.983,6.273,60.003,65
33.933,0,65.547,0,0,7.707,44.017,31.668,46.383,69.251,47.575,63.904,3.851,54.047,59
41.354,44.724,69.907,51.448,77.015,10.011,39.458,37.386,37.212,79.619,57.539,57.178,4.601,57.661,65
40.746,0,62.811,54.661,108.217,9.551,44.484,32.845,43.884,67.491,49.231,80.585,5.406,56.474,59
48.593,36.347,70.287,53.377,0,0,39.38,37.784,33.301,83.785,55.578,77.395,5.34,55.897,65
44.891,51.855,65.757,99.568,97.55,10.535,39.279,39.394,43.617,74.296,54.766,68.344,11.953,56.883,59
51.821,32.575,68.706,82.92,0,0,0,39.82,34.985,87.15,61.683,76.848,9.492,55.459,65
45.429,51.515,66.76,106.375,84.833,8.622,39.19,42.893,42.798,78.009,55.306,65.61,10.36,53.235,59
53.019,38.69,72.688,61.251,88.025,11.032,42.318,41.835,34.726,88.999,58.532,74.685,9.693,57.321,65
0,0,71.179,103.042,59.006,12.725,57.198,44.459,31.331,84.5,57.442,89.85,0,0,59
53.982,51.506,76.013,71.127,81.426,11.325,56.615,44.972,39.372,103.292,63.241,83.691,12.16,66.647,65
52.923,41.659,74.109,57.645,62.809,13.399,45.915,47.815,38.061,89.576,59.245,67.547,9.333,59.687,59
0,0,82.556,65.064,89.203,10.286,61.509,45.784,40.847,119.194,61.305,106.668,0,0,65
60.431,39.977,83.083,74.136,64.199,13.678,56.247,48.972,37.553,103.236,63.39,92.217,0,0,59
58.092,45.191,83.946,65.281,63.243,11.871,57.105,52.116,39.077,104.682,70.634,97.603,10.526,57.6,59
64.6,51.392,90.68,147.661,79.106,10.705,66.461,55.012,42.606,113.433,69.909,177.405,0,0,59
70.823,50.196,100.881,101.168,93.994,15.009,57.03,64.883,48.931,112.91,81.02,170.771,19.665,44.862,59
0,0,102.73,104.91,91.089,17.746,59.351,69.266,52.323,115.089,92.61,143.897,17.388,54.205,59
72.627,74.955,109.388,97.681,119.913,16.025,66.852,65.714,56.829,146.382,99.993,129.042,15.839,70.664,65
0,0,97.065,0,0,0,0,56.506,0,146.402,63.656,109.58,17.964,66.535,65
50.837,0,76.332,65.393,68.424,12.154,18.89,53.774,0,80.085,66.033,68.732,12.159,24.231,556
48.103,0,79.975,65.681,73.733,11.321,14.781,55.979,0,81.653,82.609,69.721,14.107,0,556
0,0,74.346,0,0,20.656,34.133,37.113,31.87,87.679,62,58.426,13.307,44.071,556
38.183,0,67.643,52.372,44.786,6.19,18.281,37.881,0,69.202,49.93,49.785,6.767,26.619,556
0,0,75.743,78.121,73.002,7.496,46.059,0,0,69.092,55.816,67.426,0,0,556
