Sho to Elb (L),Elb to Wrist (L), Sho to Hip (L),Hip to Knee (L),Knee to Ankle (L),Ankle to Heel (L), Heel to Foot (L),Sho to Elb (R),Elb to Wrist (R), Sho to Hip (R),Hip to Knee (R),Knee to Ankle (R),Ankle to Heel (R), Heel to Foot (R),Track ID,GT_Cluster
0,0,43.636,29.856,51.519,5.883,29.953,21.71,23.966,55.218,29.397,46.703,3.66,35.271,106,7
21.521,25.598,32.999,26.804,0,0,0,18.731,23.148,41.626,0,0,0,0,88,6
21.856,25.18,35.6,24.947,0,0,0,21.621,28.715,43.622,26.327,42.176,3.293,31.406,106,7
0,0,40.537,0,0,5.821,30.032,21.583,27.596,50.358,29.411,59.188,5.191,36.048,106,7
0,0,34.848,36.188,56.523,0,0,20.892,29.209,38.715,30.692,46.463,3.503,33.734,88,6
20.579,24.847,34.577,36.977,50.925,4.118,26.839,22.707,27.498,38.852,32.097,43.873,2.633,31.341,88,6
0,0,36.631,35.075,44.649,0,0,18.49,26.112,43.691,31.965,41.89,0,0,88,6
26.579,22.283,40.088,73.777,51.757,4.558,29.378,23.462,20.476,44.859,34.979,0,0,0,106,7
20.094,26.247,39.846,34.884,42.574,0,0,24.632,27.17,39.946,32.975,43.198,0,0,106,7
22.046,30.042,38.6,33.63,38.768,0,0,0,0,41.14,34.067,40.579,0,0,106,7
25.295,29.96,45.97,35.961,48.268,3.282,38.016,20.578,29.857,50.206,32.86,50.463,2.876,38.323,106,7
28.626,27.49,46.37,38.718,47.248,0,0,21.498,26.154,55.3,34.294,55.532,0,0,106,7
38.865,50.511,85.243,48.224,55.51,8.43,24.907,0,0,61.844,0,0,0,0,1,5
24.784,34.732,48.879,40.898,54.269,0,0,23.995,23.187,53.444,36.788,62.936,0,0,106,7
48.318,0,73.626,64.066,66.924,12.908,38.99,0,0,79.412,0,0,0,0,1,5
32.332,44.846,61.208,40.207,81.1,8.949,42.311,28.138,43.002,69.905,41.915,73.725,4.983,50.322,88,6
35.875,41.724,67.845,54.497,68.621,8.113,33.291,36.099,34.49,86.072,54.597,45.998,11.183,53.631,106,7
32.985,52.131,65.439,0,0,0,0,29.359,48.438,71.21,43.338,68.802,4.047,52.618,88,6
38.745,46.692,66.846,0,0,10.242,38.607,33.672,33.979,78.928,58.792,57.286,6.21,56.332,106,7
34.579,50.815,65.469,0,0,7.333,42.625,31.07,43.884,69.031,47.613,61.571,3.552,53.595,88,6
39.61,0,61.612,55.017,102.254,0,0,32.505,35.506,66.705,49.109,78.365,5.214,54.745,88,6
44.488,47.94,66.018,101.238,96.744,10.401,38.345,39.172,41.415,72.1,56.434,66.089,5.695,55.359,88,6
46.421,53.874,66.46,117.135,93.09,9.303,43.091,44.008,46.895,80.409,58.076,69.974,6.921,57.819,88,6
0,0,70.205,106.818,59.014,11.867,58.539,45.084,33.092,85.336,58.137,88.625,0,0,88,6
55.12,37.927,75.27,59.268,61.249,11.456,45.185,46.701,35.67,88.709,58.721,68.124,0,0,88,6
61.455,38.764,83.48,69.455,61.475,14.449,52.166,47.966,36.666,97.543,66.161,84.054,0,0,88,6
60.15,43.172,84.216,62.688,64.591,16.213,48.332,51.611,40.135,101.997,65.889,88.332,10.896,57.475,88,6
65.151,46.81,91.156,120.834,84.988,12.634,58.796,54.879,41.546,109.372,69.681,171.985,0,0,88,6
69.489,59.8,102.731,102.356,112.214,14.914,50.339,74.014,57.774,118.824,96.764,140.849,17.162,57.489,88,6
0,0,122.791,0,0,0,0,81.394,55.99,128.836,101.867,104.355,15.965,73.311,88,6
0,0,132.87,0,0,20.622,65.166,89.53,61.094,139.131,108.751,103.791,18.322,81.89,88,6
0,0,142.044,0,0,0,0,96.172,70.325,159.327,117.277,117.53,21.318,91.97,88,6
14.257,0,25.925,19.764,40.331,3.489,18.356,12.873,14.464,27.046,17.142,33.365,2.428,21.562,268,8
15.777,22.811,31.595,20.056,44.772,3.457,23.855,14.726,19.155,40.178,20.438,42.707,3.037,26.247,268,8
14.397,16.933,26.22,19.902,22.015,3.737,17.16,15.209,13.539,30.422,21.581,22.926,2.983,18.49,268,8
14.023,21.25,25.387,24.158,29.155,3.647,19.763,15.053,15.036,30.974,21.037,30.458,0,0,268,8
13.259,29.273,28.447,22.384,31.95,0,0,15.779,19.265,33.475,27.219,32.466,3.273,24.926,268,8
0,0,164.934,0,0,0,0,58.75,39.605,167.739,0,0,0,0,529,0
0,0,129.325,0,0,0,0,48.149,0,138.385,104.73,91.626,14.745,52.019,541,0
0,0,124.538,79.028,92.303,14.182,44.795,58.762,47.112,126.547,88.61,97.104,18.672,53.969,541,0
0,0,117.903,0,0,0,0,0,0,125.872,0,0,0,0,547,10
0,0,108.729,0,0,0,0,0,0,132.521,0,0,0,0,547,10
0,0,106.422,77.926,73.641,15.048,35.35,63.08,107.374,112.319,83.173,82.467,19.769,40.473,541,0
0,0,109.163,83.308,88.426,17.392,41.965,70.784,0,112.672,90.913,85.958,15.253,42.581,541,0
0,0,96.97,0,0,0,0,73.033,0,105.868,0,0,0,0,547,10
0,0,101.395,81.582,87.228,16.466,24.01,0,0,103.251,107.39,99.131,16.163,0,541,0
0,0,99.438,77.037,84.113,14.006,32.816,67.768,0,101.72,88.2,76.696,16.793,40.079,541,0
0,0,103.389,79.792,78.107,16.163,30.107,71.17,0,94.136,84.09,74.039,15.055,42.823,541,0
0,0,93.008,78.498,70.68,14.699,29.049,55.9,75.687,99.69,84.298,77.458,16.653,42.656,541,0
38.882,0,56.829,43.168,44.587,5.805,0,33.142,0,55.662,0,0,0,0,582,11
25.276,21.015,36.306,50.629,42.627,5.508,25.356,21.829,18.446,45.891,34.774,40.187,0,0,268,8
0,0,90.834,81.911,73.139,14.092,25.297,55.756,71.209,100.233,79.417,79.763,15.105,43.288,541,0
29.258,0,52.441,40.838,42.764,8.573,21.326,0,0,50.729,0,0,0,0,582,11
22.138,20.576,35.529,42.192,35.906,6.887,23.641,21.812,15.28,42.536,32.921,35.874,0,0,268,8
53.678,0,84.938,0,0,0,0,59.022,95.119,95.894,76.854,74.379,16.517,36.065,541,0
31.406,37.631,58.336,43.718,44.376,9.219,26.726,0,0,60.806,42.418,0,0,0,582,11
72.274,0,99.909,0,0,0,0,0,0,100.356,68.799,81.7,16.301,39.621,541,0
19.21,17.095,38.981,29.963,0,0,0,20.448,19.254,39.005,24.453,0,0,0,421,9
69.147,0,86.653,0,0,13.736,9.288,67.446,0,92.6,67.104,107.418,14.018,32.228,541,0
20.697,18.052,38.437,32.911,41.252,0,0,20.886,19.238,38.363,26.018,43.618,0,0,421,9
0,0,36.417,22.181,51.249,0,0,23.009,16.275,46.304,24.581,44.228,0,0,268,8
23.764,19.823,49.601,32.22,47.527,0,0,23.751,0,45.2,29.217,45.282,0,0,421,9
24.413,22.987,52.419,26.474,40.376,0,0,25.48,0,45.53,25.989,40.739,3.516,32.538,421,9
38.668,25.454,55.729,46.701,51.428,6.359,33.614,32.277,26.364,60.532,44.441,60.922,6.339,34.442,268,8
33.668,33.137,53.998,43.232,48.21,6.955,33.286,32.825,27.28,60.623,45.323,48.129,6.57,38.391,268,8
0,0,124.092,0,0,0,0,71.468,55.708,140.357,84.663,0,0,0,673,12
0,0,117.361,0,0,0,0,75.38,54.725,127.36,103.495,104.787,15.186,47.405,673,12
0,0,59.125,0,0,0,0,36.634,30.343,75.27,51.97,68.175,7.775,41.058,268,8
0,0,63.371,47.008,66.829,11.352,39.331,40.518,39.083,75.072,59.919,52.873,11.16,55.221,268,8
0,0,63.198,0,0,0,0,38.828,35.421,73.176,53.278,53.293,9.558,40.795,268,8
38.436,36.699,64.484,58.95,70.489,9.801,36.308,39.568,30.641,75.901,52.511,64.029,7.606,42.202,268,8
47.548,33.093,65.13,62.063,83.072,12.274,36.876,40.676,32.373,85.71,53.589,71.963,7.685,47.454,268,8
46.369,34.17,62.579,70.641,64.38,12.348,38.591,40.457,30.506,77.458,61.017,64.147,7.326,41.718,268,8
