,Sho to Elb (L),Elb to Wrist (L), Sho to Hip (L),Hip to Knee (L),Knee to Ankle (L),Ankle to Heel (L), Heel to Foot (L),Sho to Elb (R),Elb to Wrist (R), Sho to Hip (R),Hip to Knee (R),Knee to Ankle (R),Ankle to Heel (R), Heel to Foot (R)
0,31.309,33.735,52.95,45.739,62.94,10.705,45.915,24.611,28.084,58.366,39.65,79.528,9.8465,54.126
1,33.627,31.519,47.233,48.334,57.016,3.955,40.296,23.926,27.69,53.3,39.751,80.19,9.8465,54.126
2,31.004,36.235,52.298,44.334,64.592,10.705,45.915,24.246,40.101,56.276,42.895,63.656,9.8465,54.126
3,36.58,42.785,63.363,61.251,85.791,10.1485,42.318,29.748,30.54,76.939,48.751,62.134,6.254,52.048
4,32.476,40.96,56.148,42.06,67.933,10.705,45.915,27.869,39.494,62.762,43.708,61.894,9.8465,54.126
5,34.765,47.281,64.298,61.251,85.791,7.974,40.433,31.21,33.299,82.051,53.931,52.371,7.367,55.965
6,33.878,43.262,61.371,42.397,75.199,6.333,43.653,28.01,42.385,68.495,42.296,68.282,4.853,49.784
7,36.918,42.479,65.74,51.873,67.642,7.224,34.597,34.865,34.528,82.398,53.987,47.531,7.719,52.987
8,33.284,50.624,62.76,65.281,67.933,10.705,45.915,29.627,50.15,68.116,44.275,64.749,3.814,52.046
9,39.181,50.043,69.297,51.884,85.791,9.478,42.318,32.547,37.036,81.334,57.058,58.983,6.273,60.003
10,33.933,43.262,65.547,65.281,67.933,7.707,44.017,31.668,46.383,69.251,47.575,63.904,3.851,54.047
11,41.354,44.724,69.907,51.448,77.015,10.011,39.458,37.386,37.212,79.619,57.539,57.178,4.601,57.661
12,40.746,43.262,62.811,54.661,108.217,9.551,44.484,32.845,43.884,67.491,49.231,80.585,5.406,56.474
13,48.593,36.347,70.287,53.377,85.791,10.1485,39.38,37.784,33.301,83.785,55.578,77.395,5.34,55.897
14,44.891,51.855,65.757,99.568,97.55,10.535,39.279,39.394,43.617,74.296,54.766,68.344,11.953,56.883
15,51.821,32.575,68.706,82.92,85.791,10.1485,42.318,39.82,34.985,87.15,61.683,76.848,9.492,55.459
16,45.429,51.515,66.76,106.375,84.833,8.622,39.19,42.893,42.798,78.009,55.306,65.61,10.36,53.235
17,53.019,38.69,72.688,61.251,88.025,11.032,42.318,41.835,34.726,88.999,58.532,74.685,9.693,57.321
18,40.746,43.262,71.179,103.042,59.006,12.725,57.198,44.459,31.331,84.5,57.442,89.85,9.8465,54.126
19,53.982,51.506,76.013,71.127,81.426,11.325,56.615,44.972,39.372,103.292,63.241,83.691,12.16,66.647
20,52.923,41.659,74.109,57.645,62.809,13.399,45.915,47.815,38.061,89.576,59.245,67.547,9.333,59.687
21,44.9735,43.7545,82.556,65.064,89.203,10.286,61.509,45.784,40.847,119.194,61.305,106.668,7.719,57.321
22,60.431,39.977,83.083,74.136,64.199,13.678,56.247,48.972,37.553,103.236,63.39,92.217,9.8465,54.126
23,58.092,45.191,83.946,65.281,63.243,11.871,57.105,52.116,39.077,104.682,70.634,97.603,10.526,57.6
24,64.6,51.392,90.68,147.661,79.106,10.705,66.461,55.012,42.606,113.433,69.909,177.405,9.8465,54.126
25,70.823,50.196,100.881,101.168,93.994,15.009,57.03,64.883,48.931,112.91,81.02,170.771,19.665,44.862
26,40.746,43.262,102.73,104.91,91.089,17.746,59.351,69.266,52.323,115.089,92.61,143.897,17.388,54.205
27,72.627,74.955,109.388,97.681,119.913,16.025,66.852,65.714,56.829,146.382,99.993,129.042,15.839,70.664
28,44.9735,43.7545,97.065,61.251,85.791,10.1485,42.318,56.506,34.985,146.402,63.656,109.58,17.964,66.535
34,77.085,114.73,100.787,54.371,141.031,8.42,66.422,38.204,64.6,91.3,49.891,158.263,14.028,54.295
35,80.581,123.583,106.491,50.991,125.321,8.42,73.825,48.027,53.781,93.167,50.739,129.673,10.461,68.198
36,72.226,100.205,89.508,54.606,89.185,7.986,65.247,47.834,52.004,87.981,68.582,85.219,9.386,72.129
37,86.273,112.511,97.53,61.215,112.26,9.81,66.422,45.656,62.694,89.672,74.28,83.364,9.382,78.782
38,91.355,126.203,109.004,85.261,138.017,8.42,66.422,48.009,65.575,91.778,90.154,79.122,12.245,85.879
39,78.044,94.582,85.896,59.369,122.445,8.42,66.422,50.529,46.597,85.307,69.186,83.722,11.236,58.596
40,28.415,21.496,45.303,27.001,64.253,5.481,25.373,22.828,22.645,49.714,27.355,56.292,4.905,29.78
41,23.871,29.081,52.984,27.763,71.098,5.757,30.85,23.403,30.457,56.301,37.075,68.723,5.719,34.575
42,16.645,6.431,30.513,24.777,23.149,3.323,16.512,28.73,27.4415,33.002,25.666,23.177,4.26,16.572
43,21.818,39.884,52.937,45.143,74.8305,5.757,30.85,22.241,29.354,50.156,31.916,60.021,5.509,38.781
44,20.415,29.3705,51.068,66.201,56.84,5.406,37.477,21.951,28.054,49.765,56.512,50.54,4.766,25.529
45,21.701,29.927,53.202,34.573,64.855,3.662,37.477,28.73,27.4415,43.478,40.682,49.582,4.766,25.529
46,26.483,28.814,54.603,34.845,44.935,3.662,38.919,25.693,24.632,60.903,34.195,60.114,5.272,34.486
47,25.675,25.31,60.254,40.41,46.864,3.662,37.477,24.795,25.244,70.299,34.828,64.252,4.766,25.529
48,27.417,23.314,54.016,73.059,39.598,3.662,37.477,25.773,22.598,56.522,36.887,77.155,4.766,25.529
49,31.08,28.338,64.438,50.246,63.963,3.662,37.477,28.73,26.829,65.706,37.878,90.953,4.766,25.529
